c,z,attribute,y,uni,uni,value
Tanzania,Tanzania,CongestionShare,2026,Uganda,Uganda,0.04543379
Tanzania,Tanzania,CongestionShare,2028,Uganda,Uganda,0.053995434
Tanzania,Tanzania,CongestionShare,2030,Uganda,Uganda,0.453310502
Tanzania,Tanzania,CongestionShare,2032,Uganda,Uganda,0.6348173515981735
Tanzania,Tanzania,CongestionShare,2034,Uganda,Uganda,0.8111872146118722
Tanzania,Tanzania,CongestionShare,2036,Uganda,Uganda,0.6265981735159817
Tanzania,Tanzania,CongestionShare,2038,Uganda,Uganda,0.5886986301369863
Tanzania,Tanzania,CongestionShare,2040,Uganda,Uganda,0.5818493150684931
Tanzania,Tanzania,Interchange,2026,Uganda,Uganda,33.61229185012495
Tanzania,Tanzania,Interchange,2028,Uganda,Uganda,42.76701007925953
Tanzania,Tanzania,Interchange,2030,Uganda,Uganda,288.35367643551587
Tanzania,Tanzania,Interchange,2032,Uganda,Uganda,405.8286477317717
Tanzania,Tanzania,Interchange,2034,Uganda,Uganda,506.81057457145903
Tanzania,Tanzania,Interchange,2036,Uganda,Uganda,392.41345555100935
Tanzania,Tanzania,Interchange,2038,Uganda,Uganda,364.8027083808674
Tanzania,Tanzania,Interchange,2040,Uganda,Uganda,361.6369434146248
Tanzania,Tanzania,InterconUtilization,2026,Uganda,Uganda,0.054814566
Tanzania,Tanzania,InterconUtilization,2028,Uganda,Uganda,0.069743983
Tanzania,Tanzania,InterconUtilization,2030,Uganda,Uganda,0.4702440907298041
Tanzania,Tanzania,InterconUtilization,2032,Uganda,Uganda,0.6618210171751006
Tanzania,Tanzania,InterconUtilization,2034,Uganda,Uganda,0.826501263
Tanzania,Tanzania,InterconUtilization,2036,Uganda,Uganda,0.6399436652821417
Tanzania,Tanzania,InterconUtilization,2038,Uganda,Uganda,0.5949163541762351
Tanzania,Tanzania,InterconUtilization,2040,Uganda,Uganda,0.5897536585365701
Tanzania,Tanzania,NetImport,2026,Uganda,Uganda,-0.033612292
Tanzania,Tanzania,NetImport,2028,Uganda,Uganda,-0.04276701
Tanzania,Tanzania,NetImport,2030,Uganda,Uganda,-0.288353676
Tanzania,Tanzania,NetImport,2032,Uganda,Uganda,-0.405828648
Tanzania,Tanzania,NetImport,2034,Uganda,Uganda,-0.506810575
Tanzania,Tanzania,NetImport,2036,Uganda,Uganda,-0.392413456
Tanzania,Tanzania,NetImport,2038,Uganda,Uganda,-0.364802708
Tanzania,Tanzania,NetImport,2040,Uganda,Uganda,-0.361636943
Tanzania,Tanzania,TransmissionCapacity,2026,Uganda,Uganda,70
Tanzania,Tanzania,TransmissionCapacity,2028,Uganda,Uganda,70
Tanzania,Tanzania,TransmissionCapacity,2030,Uganda,Uganda,70
Tanzania,Tanzania,TransmissionCapacity,2032,Uganda,Uganda,70
Tanzania,Tanzania,TransmissionCapacity,2034,Uganda,Uganda,70
Tanzania,Tanzania,TransmissionCapacity,2036,Uganda,Uganda,70
Tanzania,Tanzania,TransmissionCapacity,2038,Uganda,Uganda,70
Tanzania,Tanzania,TransmissionCapacity,2040,Uganda,Uganda,70
Uganda,Uganda,CongestionShare,2026,Tanzania,Tanzania,0.5978310502283105
Uganda,Uganda,CongestionShare,2028,Tanzania,Tanzania,0.6763698630136986
Uganda,Uganda,CongestionShare,2030,Tanzania,Tanzania,0.2211187214611872
Uganda,Uganda,CongestionShare,2032,Tanzania,Tanzania,0.099771689
Uganda,Uganda,CongestionShare,2034,Tanzania,Tanzania,0.092808219
Uganda,Uganda,CongestionShare,2036,Tanzania,Tanzania,0.2234018264840182
Uganda,Uganda,CongestionShare,2038,Tanzania,Tanzania,0.1529680365296803
Uganda,Uganda,CongestionShare,2040,Tanzania,Tanzania,0.2348173515981735
Uganda,Uganda,Interchange,2026,Tanzania,Tanzania,398.46683467697727
Uganda,Uganda,Interchange,2028,Tanzania,Tanzania,423.33725007210194
Uganda,Uganda,Interchange,2030,Tanzania,Tanzania,151.71022677655122
Uganda,Uganda,Interchange,2032,Tanzania,Tanzania,73.76633207307566
Uganda,Uganda,Interchange,2034,Tanzania,Tanzania,64.61067031439642
Uganda,Uganda,Interchange,2036,Tanzania,Tanzania,151.22043830754583
Uganda,Uganda,Interchange,2038,Tanzania,Tanzania,100.60655126835856
Uganda,Uganda,Interchange,2040,Tanzania,Tanzania,153.34241651122372
Uganda,Uganda,InterconUtilization,2026,Tanzania,Tanzania,0.6498154512018546
Uganda,Uganda,InterconUtilization,2028,Tanzania,Tanzania,0.6903738585650717
Uganda,Uganda,InterconUtilization,2030,Tanzania,Tanzania,0.2474074148345584
Uganda,Uganda,InterconUtilization,2032,Tanzania,Tanzania,0.1202973451941873
Uganda,Uganda,InterconUtilization,2034,Tanzania,Tanzania,0.1053663899451996
Uganda,Uganda,InterconUtilization,2036,Tanzania,Tanzania,0.2466086730390506
Uganda,Uganda,InterconUtilization,2038,Tanzania,Tanzania,0.164068088
Uganda,Uganda,InterconUtilization,2040,Tanzania,Tanzania,0.2500691723927327
Uganda,Uganda,NetImport,2026,Tanzania,Tanzania,-0.398466835
Uganda,Uganda,NetImport,2028,Tanzania,Tanzania,-0.42333725
Uganda,Uganda,NetImport,2030,Tanzania,Tanzania,-0.151710227
Uganda,Uganda,NetImport,2032,Tanzania,Tanzania,-0.073766332
Uganda,Uganda,NetImport,2034,Tanzania,Tanzania,-0.06461067
Uganda,Uganda,NetImport,2036,Tanzania,Tanzania,-0.151220438
Uganda,Uganda,NetImport,2038,Tanzania,Tanzania,-0.100606551
Uganda,Uganda,NetImport,2040,Tanzania,Tanzania,-0.153342417
Uganda,Uganda,TransmissionCapacity,2026,Tanzania,Tanzania,70
Uganda,Uganda,TransmissionCapacity,2028,Tanzania,Tanzania,70
Uganda,Uganda,TransmissionCapacity,2030,Tanzania,Tanzania,70
Uganda,Uganda,TransmissionCapacity,2032,Tanzania,Tanzania,70
Uganda,Uganda,TransmissionCapacity,2034,Tanzania,Tanzania,70
Uganda,Uganda,TransmissionCapacity,2036,Tanzania,Tanzania,70
Uganda,Uganda,TransmissionCapacity,2038,Tanzania,Tanzania,70
Uganda,Uganda,TransmissionCapacity,2040,Tanzania,Tanzania,70
