q,d,t,value
Q1,d1,t1,1
Q1,d1,t2,1
Q1,d1,t3,1
Q1,d1,t4,1
Q1,d1,t5,1
Q1,d1,t6,1
Q1,d1,t7,1
Q1,d1,t8,1
Q1,d1,t9,1
Q1,d1,t10,1
Q1,d1,t11,1
Q1,d1,t12,1
Q1,d1,t13,1
Q1,d1,t14,1
Q1,d1,t15,1
Q1,d1,t16,1
Q1,d1,t17,1
Q1,d1,t18,1
Q1,d1,t19,1
Q1,d1,t20,1
Q1,d1,t21,1
Q1,d1,t22,1
Q1,d1,t23,1
Q1,d1,t24,1
Q1,d2,t1,1
Q1,d2,t2,1
Q1,d2,t3,1
Q1,d2,t4,1
Q1,d2,t5,1
Q1,d2,t6,1
Q1,d2,t7,1
Q1,d2,t8,1
Q1,d2,t9,1
Q1,d2,t10,1
Q1,d2,t11,1
Q1,d2,t12,1
Q1,d2,t13,1
Q1,d2,t14,1
Q1,d2,t15,1
Q1,d2,t16,1
Q1,d2,t17,1
Q1,d2,t18,1
Q1,d2,t19,1
Q1,d2,t20,1
Q1,d2,t21,1
Q1,d2,t22,1
Q1,d2,t23,1
Q1,d2,t24,1
Q1,d3,t1,22
Q1,d3,t2,22
Q1,d3,t3,22
Q1,d3,t4,22
Q1,d3,t5,22
Q1,d3,t6,22
Q1,d3,t7,22
Q1,d3,t8,22
Q1,d3,t9,22
Q1,d3,t10,22
Q1,d3,t11,22
Q1,d3,t12,22
Q1,d3,t13,22
Q1,d3,t14,22
Q1,d3,t15,22
Q1,d3,t16,22
Q1,d3,t17,22
Q1,d3,t18,22
Q1,d3,t19,22
Q1,d3,t20,22
Q1,d3,t21,22
Q1,d3,t22,22
Q1,d3,t23,22
Q1,d3,t24,22
Q1,d4,t1,29
Q1,d4,t2,29
Q1,d4,t3,29
Q1,d4,t4,29
Q1,d4,t5,29
Q1,d4,t6,29
Q1,d4,t7,29
Q1,d4,t8,29
Q1,d4,t9,29
Q1,d4,t10,29
Q1,d4,t11,29
Q1,d4,t12,29
Q1,d4,t13,29
Q1,d4,t14,29
Q1,d4,t15,29
Q1,d4,t16,29
Q1,d4,t17,29
Q1,d4,t18,29
Q1,d4,t19,29
Q1,d4,t20,29
Q1,d4,t21,29
Q1,d4,t22,29
Q1,d4,t23,29
Q1,d4,t24,29
Q1,d5,t1,37
Q1,d5,t2,37
Q1,d5,t3,37
Q1,d5,t4,37
Q1,d5,t5,37
Q1,d5,t6,37
Q1,d5,t7,37
Q1,d5,t8,37
Q1,d5,t9,37
Q1,d5,t10,37
Q1,d5,t11,37
Q1,d5,t12,37
Q1,d5,t13,37
Q1,d5,t14,37
Q1,d5,t15,37
Q1,d5,t16,37
Q1,d5,t17,37
Q1,d5,t18,37
Q1,d5,t19,37
Q1,d5,t20,37
Q1,d5,t21,37
Q1,d5,t22,37
Q1,d5,t23,37
Q1,d5,t24,37
Q2,d1,t1,1
Q2,d1,t2,1
Q2,d1,t3,1
Q2,d1,t4,1
Q2,d1,t5,1
Q2,d1,t6,1
Q2,d1,t7,1
Q2,d1,t8,1
Q2,d1,t9,1
Q2,d1,t10,1
Q2,d1,t11,1
Q2,d1,t12,1
Q2,d1,t13,1
Q2,d1,t14,1
Q2,d1,t15,1
Q2,d1,t16,1
Q2,d1,t17,1
Q2,d1,t18,1
Q2,d1,t19,1
Q2,d1,t20,1
Q2,d1,t21,1
Q2,d1,t22,1
Q2,d1,t23,1
Q2,d1,t24,1
Q2,d2,t1,1
Q2,d2,t2,1
Q2,d2,t3,1
Q2,d2,t4,1
Q2,d2,t5,1
Q2,d2,t6,1
Q2,d2,t7,1
Q2,d2,t8,1
Q2,d2,t9,1
Q2,d2,t10,1
Q2,d2,t11,1
Q2,d2,t12,1
Q2,d2,t13,1
Q2,d2,t14,1
Q2,d2,t15,1
Q2,d2,t16,1
Q2,d2,t17,1
Q2,d2,t18,1
Q2,d2,t19,1
Q2,d2,t20,1
Q2,d2,t21,1
Q2,d2,t22,1
Q2,d2,t23,1
Q2,d2,t24,1
Q2,d3,t1,38
Q2,d3,t2,38
Q2,d3,t3,38
Q2,d3,t4,38
Q2,d3,t5,38
Q2,d3,t6,38
Q2,d3,t7,38
Q2,d3,t8,38
Q2,d3,t9,38
Q2,d3,t10,38
Q2,d3,t11,38
Q2,d3,t12,38
Q2,d3,t13,38
Q2,d3,t14,38
Q2,d3,t15,38
Q2,d3,t16,38
Q2,d3,t17,38
Q2,d3,t18,38
Q2,d3,t19,38
Q2,d3,t20,38
Q2,d3,t21,38
Q2,d3,t22,38
Q2,d3,t23,38
Q2,d3,t24,38
Q2,d4,t1,32
Q2,d4,t2,32
Q2,d4,t3,32
Q2,d4,t4,32
Q2,d4,t5,32
Q2,d4,t6,32
Q2,d4,t7,32
Q2,d4,t8,32
Q2,d4,t9,32
Q2,d4,t10,32
Q2,d4,t11,32
Q2,d4,t12,32
Q2,d4,t13,32
Q2,d4,t14,32
Q2,d4,t15,32
Q2,d4,t16,32
Q2,d4,t17,32
Q2,d4,t18,32
Q2,d4,t19,32
Q2,d4,t20,32
Q2,d4,t21,32
Q2,d4,t22,32
Q2,d4,t23,32
Q2,d4,t24,32
Q2,d5,t1,19
Q2,d5,t2,19
Q2,d5,t3,19
Q2,d5,t4,19
Q2,d5,t5,19
Q2,d5,t6,19
Q2,d5,t7,19
Q2,d5,t8,19
Q2,d5,t9,19
Q2,d5,t10,19
Q2,d5,t11,19
Q2,d5,t12,19
Q2,d5,t13,19
Q2,d5,t14,19
Q2,d5,t15,19
Q2,d5,t16,19
Q2,d5,t17,19
Q2,d5,t18,19
Q2,d5,t19,19
Q2,d5,t20,19
Q2,d5,t21,19
Q2,d5,t22,19
Q2,d5,t23,19
Q2,d5,t24,19
Q3,d1,t1,1
Q3,d1,t2,1
Q3,d1,t3,1
Q3,d1,t4,1
Q3,d1,t5,1
Q3,d1,t6,1
Q3,d1,t7,1
Q3,d1,t8,1
Q3,d1,t9,1
Q3,d1,t10,1
Q3,d1,t11,1
Q3,d1,t12,1
Q3,d1,t13,1
Q3,d1,t14,1
Q3,d1,t15,1
Q3,d1,t16,1
Q3,d1,t17,1
Q3,d1,t18,1
Q3,d1,t19,1
Q3,d1,t20,1
Q3,d1,t21,1
Q3,d1,t22,1
Q3,d1,t23,1
Q3,d1,t24,1
Q3,d2,t1,1
Q3,d2,t2,1
Q3,d2,t3,1
Q3,d2,t4,1
Q3,d2,t5,1
Q3,d2,t6,1
Q3,d2,t7,1
Q3,d2,t8,1
Q3,d2,t9,1
Q3,d2,t10,1
Q3,d2,t11,1
Q3,d2,t12,1
Q3,d2,t13,1
Q3,d2,t14,1
Q3,d2,t15,1
Q3,d2,t16,1
Q3,d2,t17,1
Q3,d2,t18,1
Q3,d2,t19,1
Q3,d2,t20,1
Q3,d2,t21,1
Q3,d2,t22,1
Q3,d2,t23,1
Q3,d2,t24,1
Q3,d3,t1,34
Q3,d3,t2,34
Q3,d3,t3,34
Q3,d3,t4,34
Q3,d3,t5,34
Q3,d3,t6,34
Q3,d3,t7,34
Q3,d3,t8,34
Q3,d3,t9,34
Q3,d3,t10,34
Q3,d3,t11,34
Q3,d3,t12,34
Q3,d3,t13,34
Q3,d3,t14,34
Q3,d3,t15,34
Q3,d3,t16,34
Q3,d3,t17,34
Q3,d3,t18,34
Q3,d3,t19,34
Q3,d3,t20,34
Q3,d3,t21,34
Q3,d3,t22,34
Q3,d3,t23,34
Q3,d3,t24,34
Q3,d4,t1,26
Q3,d4,t2,26
Q3,d4,t3,26
Q3,d4,t4,26
Q3,d4,t5,26
Q3,d4,t6,26
Q3,d4,t7,26
Q3,d4,t8,26
Q3,d4,t9,26
Q3,d4,t10,26
Q3,d4,t11,26
Q3,d4,t12,26
Q3,d4,t13,26
Q3,d4,t14,26
Q3,d4,t15,26
Q3,d4,t16,26
Q3,d4,t17,26
Q3,d4,t18,26
Q3,d4,t19,26
Q3,d4,t20,26
Q3,d4,t21,26
Q3,d4,t22,26
Q3,d4,t23,26
Q3,d4,t24,26
Q3,d5,t1,30
Q3,d5,t2,30
Q3,d5,t3,30
Q3,d5,t4,30
Q3,d5,t5,30
Q3,d5,t6,30
Q3,d5,t7,30
Q3,d5,t8,30
Q3,d5,t9,30
Q3,d5,t10,30
Q3,d5,t11,30
Q3,d5,t12,30
Q3,d5,t13,30
Q3,d5,t14,30
Q3,d5,t15,30
Q3,d5,t16,30
Q3,d5,t17,30
Q3,d5,t18,30
Q3,d5,t19,30
Q3,d5,t20,30
Q3,d5,t21,30
Q3,d5,t22,30
Q3,d5,t23,30
Q3,d5,t24,30
Q4,d1,t1,1
Q4,d1,t2,1
Q4,d1,t3,1
Q4,d1,t4,1
Q4,d1,t5,1
Q4,d1,t6,1
Q4,d1,t7,1
Q4,d1,t8,1
Q4,d1,t9,1
Q4,d1,t10,1
Q4,d1,t11,1
Q4,d1,t12,1
Q4,d1,t13,1
Q4,d1,t14,1
Q4,d1,t15,1
Q4,d1,t16,1
Q4,d1,t17,1
Q4,d1,t18,1
Q4,d1,t19,1
Q4,d1,t20,1
Q4,d1,t21,1
Q4,d1,t22,1
Q4,d1,t23,1
Q4,d1,t24,1
Q4,d2,t1,1
Q4,d2,t2,1
Q4,d2,t3,1
Q4,d2,t4,1
Q4,d2,t5,1
Q4,d2,t6,1
Q4,d2,t7,1
Q4,d2,t8,1
Q4,d2,t9,1
Q4,d2,t10,1
Q4,d2,t11,1
Q4,d2,t12,1
Q4,d2,t13,1
Q4,d2,t14,1
Q4,d2,t15,1
Q4,d2,t16,1
Q4,d2,t17,1
Q4,d2,t18,1
Q4,d2,t19,1
Q4,d2,t20,1
Q4,d2,t21,1
Q4,d2,t22,1
Q4,d2,t23,1
Q4,d2,t24,1
Q4,d3,t1,37
Q4,d3,t2,37
Q4,d3,t3,37
Q4,d3,t4,37
Q4,d3,t5,37
Q4,d3,t6,37
Q4,d3,t7,37
Q4,d3,t8,37
Q4,d3,t9,37
Q4,d3,t10,37
Q4,d3,t11,37
Q4,d3,t12,37
Q4,d3,t13,37
Q4,d3,t14,37
Q4,d3,t15,37
Q4,d3,t16,37
Q4,d3,t17,37
Q4,d3,t18,37
Q4,d3,t19,37
Q4,d3,t20,37
Q4,d3,t21,37
Q4,d3,t22,37
Q4,d3,t23,37
Q4,d3,t24,37
Q4,d4,t1,26
Q4,d4,t2,26
Q4,d4,t3,26
Q4,d4,t4,26
Q4,d4,t5,26
Q4,d4,t6,26
Q4,d4,t7,26
Q4,d4,t8,26
Q4,d4,t9,26
Q4,d4,t10,26
Q4,d4,t11,26
Q4,d4,t12,26
Q4,d4,t13,26
Q4,d4,t14,26
Q4,d4,t15,26
Q4,d4,t16,26
Q4,d4,t17,26
Q4,d4,t18,26
Q4,d4,t19,26
Q4,d4,t20,26
Q4,d4,t21,26
Q4,d4,t22,26
Q4,d4,t23,26
Q4,d4,t24,26
Q4,d5,t1,27
Q4,d5,t2,27
Q4,d5,t3,27
Q4,d5,t4,27
Q4,d5,t5,27
Q4,d5,t6,27
Q4,d5,t7,27
Q4,d5,t8,27
Q4,d5,t9,27
Q4,d5,t10,27
Q4,d5,t11,27
Q4,d5,t12,27
Q4,d5,t13,27
Q4,d5,t14,27
Q4,d5,t15,27
Q4,d5,t16,27
Q4,d5,t17,27
Q4,d5,t18,27
Q4,d5,t19,27
Q4,d5,t20,27
Q4,d5,t21,27
Q4,d5,t22,27
Q4,d5,t23,27
Q4,d5,t24,27
